Tweet,Sentiment
michelle obama says americans feel hopeful carrier employee says hope thanks mr trump,"""positive"""
msnbc michele bachmann claimed president barack foreign policy would lead rapture,"""positive"""
reason think muslim community crazy,"""positive"""
worst pa actions confirm suspected election hacked nothing,"""negative"""
obama sanctions russia unproven hacking claims,"""positive"""
obama sanctions russia unproven hacking claims,"""positive"""
ordering harmful foreigners country primary trump campaign promise looking forward tweet singing praises,"""positive"""
awesome media given obama administration free pass yrs funny thing thinks tough,"""positive"""
obama retaliates russia hacking poll boots persona non grata,"""positive"""
close eyes pretend charlie sheen imagine james woods asking god kill obama imagine cnn,"""negative"""
mean legally nothing ejecting operatives order version,"""positive"""
wow russian spokeswoman maria zakharova administration group foreign policy,"""positive"""
damage democratic pay suffered obama incalculable,"""positive"""
full repo russian hackers timed back statement today note disclaimer top,"""negative"""
russia share interests retaliation potus trump would,"""neutral"""
obama trying set world fire days leaving office expels russian diplomats despite evidence,"""negative"""
obama sanctions russia unproven hacking claims,"""positive"""
obama risks international incident cover fakenews russian hacking bs hell man,"""positive"""
obama serious ejecting operatives messed election much democratic pay would,"""negative"""
obama destroyed democratic revenge huffpost blasts failed,"""negative"""
devil working hard barack obama working harder,"""negative"""
chinese hack millions compromising disclosures military personnel media says nothing obama nothing,"""positive"""
obama sanctions russia unproven hacking claims,"""positive"""
obama trying undermine next white house trump move,"""positive"""
michelle obama economists say trump delivered hope maga liberalsunite still whine,"""negative"""
obama mocked russian everyone glad see last hapless administration zero hedge,"""positive"""
first tyrant obama betrays israel trying sta war russia days trump gets sworn,"""negative"""
obama sanctions russia unproven hacking claims europe islam,"""positive"""
obama shitstain,"""positive"""
millions still unemployed millions underemployed cuz,"""positive"""
obama thinks states united states russia hacked dnc,"""negative"""
medicine man spiritual leader leonard crow dog appeals president free leonard peltier,"""neutral"""
hard soa needs feed election hack narrative obama acts sake politics,"""negative"""
statement prospective measures russia alleged election hacking,"""positive"""
evidence exsists tarmac meet lynch bill clinton grandkids disbarred,"""positive"""
oh please obama please stay dc leave office continue destroy democrat pay,"""negative"""
wow russian spokeswoman maria zakharova administration group foreign policy,"""positive"""
trump exchanges barbs obama maintains good relationship,"""positive"""
obama would decisive isis unproven russian,"""negative"""
prayed last year trump win castro die netanyahu outlast obama please never doubt,"""negative"""
banning russian diplomats entering two diplomatic propeies us likely violation,"""positive"""
president obama releases ridiculous fbi repo malicious cyber,"""negative"""
dhs warrant hacking repo truth record said clearly russia,"""negative"""
statement prospective measures russia alleged election hacking,"""positive"""
us expels russian diplomats closed compounds clearly obama trying sta ww11 leaving office,"""negative"""
obama sanctions russia unproven hacking claims,"""positive"""
russia note hacking repo released mention wikileaks,"""neutral"""
unfounately obama hussein years,"""negative"""
scorched eah obama expels russian diplomats closes two compounds russian hackers,"""positive"""
russian embassy uk says measures cold war deja vu calls obama lame duck,"""negative"""
tom friedman get supreme cou justice bible swear barack obama right,"""negative"""
best feminist moments endorsing pay equity condemning sexual assault,"""positive"""
paing gift ww3 expells russian diplomats,"""positive"""
banning russian diplomats entering two diplomatic propeies us likely violation,"""positive"""
stand israel benjamin stand barack obama,"""negative"""
biden slammed team worked defeat hideous iran people surprised,"""positive"""
slaughterhouses used senseless horseslaughter closed since make sure stay,"""negative"""
unprecedented pres obama depo cabinet,"""positive"""
uk embassy trolls expulsion russian diplomats,"""positive"""
time erase ohbumah muzzlem pfuk via android app,"""neutral"""
calls carl paladino step came said hopes president obama dies mad cow disease,"""negative"""
dem field octogenarians bench wiped obama breitba,"""positive"""
unprecedented pres obama depo cabinet,"""positive"""
obamas looking cool pa job,"""positive"""
obama say last president,"""negative"""
russia note hacking repo released mention wikileaks,"""neutral"""
obama whatever wants russian make vote trump damn obamas leave already russian,"""positive"""
unprecedented pres obama depo cabinet,"""positive"""
kerry seen daylight years head backside goodwill excuse,"""positive"""
insane putin turkey got peace syria proof obama completely touch,"""positive"""
keep russian diplomats expel obama pelosi reid commies instead,"""negative"""
russia fm cant less indifferent future rels history wont forgive,"""negative"""
hilarious tweet russian embassy goes history lame,"""positive"""
wow look tolerant left one obama ironic,"""positive"""
memba trump told russia election flexibility oh wait obama trying play tough,"""negative"""
easy obama narcissist wants sabotage win make seem illegitimate,"""negative"""
paul ryan says obama sanctions russia overdue,"""positive"""
president obama given russian operatives hours leave country shutting two russian compounds,"""negative"""
obama mastered demons trump nuures,"""positive"""
russian embassy uk says measures cold war deja vu calls obama lame duck,"""negative"""
obama literally attempting burn america way worst president ever democrats lose huge,"""negative"""
pray trump safe obama goes hell,"""negative"""
sore loser obama promised peaceful transition trying sta war russia stop trump taking,"""negative"""
worried lefty historians dominate academia interviewing stonecutters carve,"""positive"""
obama clearly trying saddle trump many foreign policy disasters possible truly despicable,"""negative"""
sudden obama grows back bone day late dollar cannot,"""negative"""
uk embassy trolls expulsion russian diplomats,"""positive"""
keep russians throw hillary co,"""negative"""
unprecedented pres obama depo cabinet,"""positive"""
history record obama kerry relentless enemies israel said tweet,"""positive"""
israeli pm benjamin netanyahu hits president obama viral facebook post,"""neutral"""
ur furious ejecting russian diplos wake hack attacks thrilled depo millions mexican,"""positive"""
president obama expels diplomats cold war deja vu everybody incl people glad see,"""negative"""
explain obama tried hard disarm americans,"""negative"""
russia sanctions announced white house obama ejects diplomats,"""positive"""
obama expels russian diplomats erects limited sanctions alleged hacking attempts,"""negative"""
son joe okay man stand back barack imma whoop ass,"""positive"""
obama beats trump admired man america,"""positive"""
russian embassy uk says measures cold war deja vu calls obama lame duck,"""negative"""
obama expels russian diplomats without single shred evidence russia involved wants get us wwii great,"""positive"""
