Tweet,Sentiment
pm make india boosted food processing expes via nmapp,"""neutral"""
modi celebrate new year give hea attacking news many celebrate,"""positive"""
modi believes black money idle cash banks become productive,"""positive"""
president obama aicle time magazine described prime minister modi,"""positive"""
year modi new year plans,"""neutral"""
demonetisation decision huge best economists remain confused modi,"""negative"""
calculations based meagre numbers rbi released prove tht aim extinguishing blackmoney hs fallen flat,"""neutral"""
obviously modi evil sanghis responsible dip stocks rahul baba spoke sensex rose unlike iq levels,"""positive"""
pm modi kills mamata banerjee watch face end like,"""positive"""
narendra modi viually closed doors corrupt squeezing submission namobestpmofindia,"""positive"""
liked video ajaz khan message narendra modi rupee ban india,"""positive"""
truth stranger english proverb like sudden visit pakistan,"""negative"""
aim make india developed one namobestpmofindia,"""neutral"""
namo address nation awesome speech awesome orator namo pm modi,"""positive"""
aap wave gujarat claimed yugpurush ji also ppl pm modi demonetisation,"""positive"""
clear evidence payoffs woh crores birla sahara modi ji come clean,"""negative"""
nope complex say narendra modi cm wb,"""negative"""
boost use digital payment methods fits right strategy international press handjobbing modi,"""neutral"""
yadav explain nature evidence modi stalls inquiry,"""positive"""
pm modi warns black money hide days get,"""positive"""
cash state mind modi great nothing wrong everyone bank queue traitor,"""negative"""
demonetisation politically motivated says pm narendra modi ahead deadline,"""neutral"""
ppl voted modi feel proud ppl voted kejriwal cry everyday feel,"""positive"""
successfuly mr plan remonetisation address tag black namotoindiatoday,"""positive"""
demonetisation modi ji sacrificed indian farmer snatched away wages workers insulted labour,"""positive"""
modi ji fighting corruption way demonetisation,"""positive"""
sheilaji problem inquiry narendra modiji problem,"""positive"""
modi ji told old notes paper anyone pay penalty holding paper,"""neutral"""
congress idea view must seek views,"""positive"""
ppl voted modi feel proud ppl voted kejriwal cry everyday feel,"""positive"""
barkha desperate alliance modi get power corridors sickening,"""positive"""
successfuly mr plan remonetisation address tag black namotoindiatoday,"""positive"""
government constitution real holy book pm modi namobestpmofindia,"""positive"""
reluctant acknowledgement one nonetheless disagree media ppl saw,"""positive"""
astounded statist liberalising india become mere months,"""positive"""
aicles demonetisation frm,"""positive"""
india lives india grows india celebrates one pm modi namobestpmofindia,"""positive"""
president obama aicle time magazine described prime minister modi,"""positive"""
mamata govt barred opposition paies including congress left bjp visiting dhulagarh,"""negative"""
watch share delhi cm gives proof corruption black money modi sahara mehsana,"""positive"""
narendra modi viually closed doors corrupt squeezing submission namobestpmofindia,"""positive"""
congress chaer demands demonetization behalf people india prime minister must,"""positive"""
